200	0.5489
300	0.5611
400	0.5444
500	0.5478
600	0.5533
700	0.5478
800	0.5411
900	0.5411
1000	0.5489
1100	0.5367
1200	0.5378
1300	0.5467
1400	0.5556
1500	0.5689
1600	0.5411
1700	0.5544
1800	0.5289
1900	0.57
2000	0.5422
2100	0.5544
2200	0.5544
2300	0.5578
2400	0.5544
2500	0.5656
2600	0.54
2700	0.5644
2800	0.54
2900	0.5444
3000	0.5367
3100	0.5611
3200	0.55
3300	0.5589
3400	0.5511
3500	0.5467
3700	0.5567
3800	0.5467
3900	0.5533
4000	0.57
4100	0.5733
4200	0.5511
4300	0.5622
4400	0.5678
4500	0.5544
4600	0.55
4700	0.5389
4800	0.5644
4900	0.56
5100	0.5711
5200	0.58
5300	0.5744
5400	0.5611
5500	0.5444
5600	0.5511
5700	0.5556
5800	0.5733
5900	0.5678
